created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Sep 28 23:34:33 +0000 2023;1707539323032399891;"@YellyLhsnhh @abetsym @rizqi_prima @dupadupp @ade_ridwan14 @selviabudiani @diansandi_N @wildan46508 @KeretaCepatID @doraemonmon @FennyOktavianii @irfan_budiawan_ @Killmongahh @Svastya @y0urskies @Ivan8430 @AnonymXav @indraahmadfauz1 @QintharaAvanza @afii90 Kereta cimahi-cimekar. Kalo teteh?";0;2;0;0;in;237691856;1705195969896468684;RachmalinD;https://twitter.com/RachmalinD/status/1707539323032399891
Thu Sep 28 23:12:24 +0000 2023;1707533749330796708;"@harjonoabi @SultanMafty @Adrianussatrio @KeretaCepatID Lhoo justru semua pengusaha transportasi ga bisa cmn mengandalkan dri tiket krn sekalipun full trip PP penuh g akan bs untung. Justru sumber cuan lebih besar ya dri non tiket.";0;1;0;0;in;246178041;1707389414283043149;nurman307;https://twitter.com/nurman307/status/1707533749330796708
Thu Sep 28 23:00:46 +0000 2023;1707530819672125637;"Menteri Koordinator Bidang Kemaritiman dan Investasi (Menko Marves) Luhut Binsar Pandjaitan mengatakan Kereta Cepat Jakarta-Bandung (KCJB) WHOOSH akan diresmikan pada 2 Oktober 2023 mendatang  Selengkapnya: https://t.co/butQAZ08Yi  ___ #Vivacoid #KCIC #Whoosh https://t.co/b6O8JOXRw0";0;1;0;1;in;41730943;1707530819672125637;VIVAcoid;https://twitter.com/VIVAcoid/status/1707530819672125637
Thu Sep 28 22:32:37 +0000 2023;1707523734729609507;"@KeretaCepatID min @KeretaCepatID buka kuota gratis lagi utk tgl 1 oktober. kan soft launchingnya diundir jadi tgl 2 okt @KeretaCepatID";0;0;0;0;in;1477592515494625280;1707390525513621865;qafdhi;https://twitter.com/qafdhi/status/1707523734729609507
Thu Sep 28 22:32:31 +0000 2023;1707523710180331675;"@KeretaCepatID min @KeretaCepatID buka kuota gratis lagi utk tgl 1 oktober. kan soft launchingnya diundir jadi tgl 2 okt @KeretaCepatID";0;0;0;0;in;1477592515494625280;1705824417501298809;qafdhi;https://twitter.com/qafdhi/status/1707523710180331675
Thu Sep 28 22:12:26 +0000 2023;1707518654727008259;"@kabarpenumpang @KeretaCepatID Harusnya mah inggris";0;0;0;0;in;385348015;1707369714299867242;DicxzJr;https://twitter.com/DicxzJr/status/1707518654727008259
Thu Sep 28 20:34:50 +0000 2023;1707494092928844274;"@AhmadFauzii21 @alfimario_ @arioadimas Skenarionya apes di kai sih. Gopar suka fullbook di weekend dipaksa dimatiin, jalurnya cuma jadi beban maintenance, pada akhirnya jg kcic tetep kurang laku karena lebih pilih naik travel yg lebih murah dan langsung ke pusat kota. 😅";0;0;0;1;in;1341333238875181056;1707259678609256678;dedzertfox;https://twitter.com/dedzertfox/status/1707494092928844274
Thu Sep 28 20:18:17 +0000 2023;1707489927800520977;"@kabarpenumpang @KeretaCepatID Kedai linglinglu Wasyii Fu linglinglu Wasyii fu";0;0;0;0;in;455916926;1707369714299867242;bekokjin;https://twitter.com/bekokjin/status/1707489927800520977
Thu Sep 28 20:12:47 +0000 2023;1707488545823510674;"@VIVAcoid TOP KCIC semoga semakin toleran kereta nya wkwkwk";0;0;0;0;in;204659160;1707401916656021658;justxddt;https://twitter.com/justxddt/status/1707488545823510674
Thu Sep 28 18:28:45 +0000 2023;1707462365690921226;"terkadang rumput tetangga keliatan lebih hijau. padahal pembangunan jalur kereta mrk lebih banyak ketimbang di indonesia.   pdhl kcic ini jadi beban. dari yg katanya gak direncanakan pake apbn ujungnya bocor juga.";0;0;0;0;in;953852237045878784;1707462365690921226;_heterodoks;https://twitter.com/_heterodoks/status/1707462365690921226
