created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,sanitized_tweet,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,sentiment_score,sentiment
Thu Sep 28 23:34:33 +0000 2023,1707539323032399891,@YellyLhsnhh @abetsym @rizqi_prima @dupadupp @ade_ridwan14 @selviabudiani @diansandi_N @wildan46508 @KeretaCepatID @doraemonmon @FennyOktavianii @irfan_budiawan_ @Killmongahh @Svastya @y0urskies @Ivan8430 @AnonymXav @indraahmadfauz1 @QintharaAvanza @afii90 Kereta cimahi-cimekar. Kalo teteh?,0,2,0,0,in,237691856,1705195969896468684,RachmalinD,https://twitter.com/RachmalinD/status/1707539323032399891,"['yellylhsnhh', 'abetsym', 'rizqi prima', 'dupadupp', 'ade ridwan14', 'selviabudiani', 'diansandi n', 'wildan46508', '@keretacepatid', 'doraemonmon', 'fennyoktavianii', 'irfan budiawan', 'killmongahh', 'svastya', 'y0urskies', 'ivan8430', 'anonymxav', 'indraahmadfauz1', 'qintharaavanza', 'afii90', 'kereta', 'cimahicimekar', 'kalo', 'teteh']",1,3,4,4,4,2,0,8,-4.0,negative
Thu Sep 28 23:12:24 +0000 2023,1707533749330796708,@harjonoabi @SultanMafty @Adrianussatrio @KeretaCepatID Lhoo justru semua pengusaha transportasi ga bisa cmn mengandalkan dri tiket krn sekalipun full trip PP penuh g akan bs untung. Justru sumber cuan lebih besar ya dri non tiket.,0,1,0,0,in,246178041,1707389414283043149,nurman307,https://twitter.com/nurman307/status/1707533749330796708,"['harjonoabi', 'sultanmafty', 'adrianussatrio', '@keretacepatid', 'loh', 'usaha', 'transportasi', 'cuman', 'andal', 'tiket', 'full', 'trip', 'pp', 'penuh', 'untung', 'sumber', 'cuan', 'ya', 'non', 'tiket']",1,3,4,4,4,0,8,4,-2.0,negative
Thu Sep 28 23:00:46 +0000 2023,1707530819672125637,Menteri Koordinator Bidang Kemaritiman dan Investasi (Menko Marves) Luhut Binsar Pandjaitan mengatakan Kereta Cepat Jakarta-Bandung (KCJB) WHOOSH akan diresmikan pada 2 Oktober 2023 mendatang  Selengkapnya: https://t.co/butQAZ08Yi  ___ #Vivacoid #KCIC #Whoosh https://t.co/b6O8JOXRw0,0,1,0,1,in,41730943,1707530819672125637,VIVAcoid,https://twitter.com/VIVAcoid/status/1707530819672125637,"['menteri', 'koordinator', 'bidang', 'maritim', 'investasi', 'menko', 'marves', 'luhut', 'binsar', 'pandjaitan', 'kereta', 'cepat', 'jakarta bandung', 'kcjb', 'whoosh', 'resmi', '2', 'oktober', '2023', 'lengkap', '', 'vivacoid', 'kcic', 'whoosh']",0,1,1,3,5,4,6,2,-6.0,negative
Thu Sep 28 22:32:37 +0000 2023,1707523734729609507,@KeretaCepatID min @KeretaCepatID buka kuota gratis lagi utk tgl 1 oktober. kan soft launchingnya diundir jadi tgl 2 okt @KeretaCepatID,0,0,0,0,in,1477592515494625280,1707390525513621865,qafdhi,https://twitter.com/qafdhi/status/1707523734729609507,"['@keretacepatid', 'min', '@keretacepatid', 'buka', 'kuota', 'gratis', 'tanggal', '1', 'oktober', 'soft', 'launchingnya', 'diundir', 'tanggal', '2', 'okt', '@keretacepatid']",2,2,0,5,0,7,2,1,-9.0,negative
Thu Sep 28 22:32:31 +0000 2023,1707523710180331675,@KeretaCepatID min @KeretaCepatID buka kuota gratis lagi utk tgl 1 oktober. kan soft launchingnya diundir jadi tgl 2 okt @KeretaCepatID,0,0,0,0,in,1477592515494625280,1705824417501298809,qafdhi,https://twitter.com/qafdhi/status/1707523710180331675,"['@keretacepatid', 'min', '@keretacepatid', 'buka', 'kuota', 'gratis', 'tanggal', '1', 'oktober', 'soft', 'launchingnya', 'diundir', 'tanggal', '2', 'okt', '@keretacepatid']",2,2,0,5,0,7,2,1,-9.0,negative
Thu Sep 28 22:12:26 +0000 2023,1707518654727008259,@kabarpenumpang @KeretaCepatID Harusnya mah inggris,0,0,0,0,in,385348015,1707369714299867242,DicxzJr,https://twitter.com/DicxzJr/status/1707518654727008259,"['kabarpenumpang', '@keretacepatid', 'mah', 'inggris']",1,3,4,1,6,1,7,7,0.0,neutral
Thu Sep 28 20:34:50 +0000 2023,1707494092928844274,"@AhmadFauzii21 @alfimario_ @arioadimas Skenarionya apes di kai sih. Gopar suka fullbook di weekend dipaksa dimatiin, jalurnya cuma jadi beban maintenance, pada akhirnya jg kcic tetep kurang laku karena lebih pilih naik travel yg lebih murah dan langsung ke pusat kota. ð",0,0,0,1,in,1341333238875181056,1707259678609256678,dedzertfox,https://twitter.com/dedzertfox/status/1707494092928844274,"['ahmadfauzii21', 'alfimario', 'arioadimas', 'skenario', 'apes', 'kai', 'sih', 'gopar', 'suka', 'fullbook', 'weekend', 'paksa', 'dimatiin', 'jalur', 'beban', 'maintenance', 'kcic', 'laku', 'pilih', 'travel', 'murah', 'langsung', 'pusat', 'kota', '']",1,3,2,0,1,5,5,6,-18.0,negative
Thu Sep 28 20:18:17 +0000 2023,1707489927800520977,@kabarpenumpang @KeretaCepatID Kedai linglinglu Wasyii Fu linglinglu Wasyii fu,0,0,0,0,in,455916926,1707369714299867242,bekokjin,https://twitter.com/bekokjin/status/1707489927800520977,"['kabarpenumpang', '@keretacepatid', 'kedai', 'linglinglu', 'wasyii', 'fu', 'linglinglu', 'wasyii', 'fu']",1,3,4,4,4,2,0,8,0.0,neutral
Thu Sep 28 20:12:47 +0000 2023,1707488545823510674,@VIVAcoid TOP KCIC semoga semakin toleran kereta nya wkwkwk,0,0,0,0,in,204659160,1707401916656021658,justxddt,https://twitter.com/justxddt/status/1707488545823510674,"['vivacoid', 'top', 'kcic', 'moga', 'toleran', 'kereta', 'nya', 'wkwkwk']",1,3,2,0,1,5,5,6,5.0,positive
Thu Sep 28 18:28:45 +0000 2023,1707462365690921226,terkadang rumput tetangga keliatan lebih hijau. padahal pembangunan jalur kereta mrk lebih banyak ketimbang di indonesia.   pdhl kcic ini jadi beban. dari yg katanya gak direncanakan pake apbn ujungnya bocor juga.,0,0,0,0,in,953852237045878784,1707462365690921226,_heterodoks,https://twitter.com/_heterodoks/status/1707462365690921226,"['terkadang', 'rumput', 'tetangga', 'lihat', 'hijau', 'bangun', 'jalur', 'kereta', 'ketimbang', 'indonesia', 'kcic', 'beban', 'rencana', 'pakai', 'apbn', 'ujung', 'bocor']",1,3,2,0,1,5,5,6,-12.0,negative
